0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0
0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0
0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0
0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143
0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0
0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0
0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0
0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143
0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0
0,1,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0
0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0
0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143
0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143
0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143,0,0.142857143
0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0,0,0.142857143,0.142857143
0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143